cd_id,stable_2013,stable_2019,other_status_2019,year_stable
CD004105,y,n,Withdrawn,2011
CD004111,y,y,Nil,2012
CD004112,n,y,Nil,
CD004121,n,y,Nil,
CD004144,y,y,Nil,2009
CD004151,n,y,Nil,
CD004194,n,y,Nil,
CD004196,y,n,Withdrawn,2013
CD004233,n,y,Nil,
CD004234,y,y,Nil,2011
CD004246,y,n,Normal,2011
CD004272,n,y,Nil,
CD004276,y,y,Nil,2011
CD004308,y,y,Nil,2010
CD004309,n,y,Nil,
CD004310,n,y,Nil,
CD004371,y,n,Normal,2013
CD004378,n,y,Nil,
CD004386,n,y,Nil,
CD004387,n,y,Nil,
CD004388,n,y,Nil,
CD004390,y,y,Nil,2009
CD004416,n,y,Nil,
CD004465,n,y,Nil,
CD004468,n,y,Nil,
CD004473,y,y,Nil,2013
CD004474,y,y,Nil,2013
CD004485,n,y,Nil,
CD004487,n,y,Nil,
CD004531,y,y,Nil,2008
CD004535,y,y,Nil,2011
CD004561,n,y,Nil,
CD004562,n,y,Nil,
CD004571,y,y,Nil,2012
CD004588,y,n,Unchanged,2012
CD004596,n,y,Nil,
CD004598,n,y,Nil,
CD004602,y,y,Nil,2012
CD004604,y,y,Nil,2010
CD004637,n,y,Nil,
CD004747,y,y,Nil,2008
CD004748,y,y,Nil,2008
CD004752,n,y,Nil,
CD004753,n,y,Nil,
CD004768,y,y,Nil,2011
CD004771,y,y,Nil,2011
CD004830,n,y,Withdrawn,
CD004832,n,y,Nil,
CD004840,n,y,Nil,
CD004844,n,y,Nil,
CD004848,y,n,Withdrawn,2012
CD004969,n,y,Nil,
CD005007,n,y,Nil,
CD005037,n,y,Nil,
CD005101,n,y,Nil,
CD005138,y,y,Nil,2010
CD005177,y,y,Nil,2012
CD005196,n,y,Nil,
CD005202,n,y,Nil,
CD005219,n,y,Nil,
CD005220,n,y,Nil,
CD005312,n,y,Nil,
CD005313,y,y,Nil,2012
CD005339,n,y,Nil,
CD005341,n,y,Nil,
CD005426,y,y,Nil,2012
CD005434,y,y,Nil,2010
CD005451,y,y,Nil,2011
CD005454,n,y,Nil,
CD005476,n,y,Nil,
CD005479,y,y,Nil,2011
CD005482,y,y,Nil,2011
CD005515,n,y,Nil,
CD005516,n,y,Nil,
CD005520,n,y,Nil,
CD005539,n,y,Nil,
CD005598,y,n,Normal,2012
CD005622,n,y,Nil,
CD005637,n,y,Nil,
CD005638,n,y,Nil,
CD005965,y,y,Nil,2008
